0	TITLE	DRAWING	FIND	STRIKE
AR	ADHESIVE EPOXY	2021529	34	
1	SHLD AND GROUND ASSY	1001472-2	33	
1	SHLD AND GROUND ASSY	-1	32	
2	TERMINAL BOARD	1007014	31	
2	WASHER, LOCK	MS35338-77	30	
2	WASHER, FLAT, ROUND	MS15795-302	29	
2	SCREW, BUT. HD.	1006783-93	28	
1	POTENTIOMETER ASSY	1007089	27	
1	INSULATION SLEEVING, ELECT. HEAT SHRINK	1010490-800	26	X
16.0	WIRE, ELECTRICAL	MIL-W-16878 ET-28 WHT/BRN	25	
16.0	WIRE, ELECTRICAL	MIL-W-16878 ET-28 WHT/RED	24	
1	RESISTOR, FIXED	1010330 SEE DRAWING NOTE 5	23	
1	RESISTOR, FIXED	1010330 SEE DRAWING NOTE 5	22	
1	RESISTOR, FIXED	1010377 SEE DRAWING NOTE 5	21	
1	RESISTOR, FIXED	1010377 SEE DRAWING NOTE 5	20	
1	RESISTOR, FIXED	1010251-38	19	
1	RESISTOR, FIXED	1010251 SEE DRAWING NOTE 5	18	
2.5 LONG	WIRE, ELECTRICAL	MIL-W-16878 ET-28 WHT	17	
2	INSULATION SLEEVING, ELECT. HEAT SHRINK	1010491-136	16	X
2	FERRULE, INNER	1000243-5	15	X
2	FERRULE, OUTER	1000242-5	14	X
6”	BRAID, WIRE (COP., TIN CTD, TUBULAR)	QQ-B-575 7/64 I.D. 36 AWG	13	X
15.0”	WIRE, ELECTRICAL	MIL-W-16878 ET-28 YEL	12	
15.0”	WIRE, ELECTRICAL	MIL-W-16878 ET-28 GRN	11	
AR	INK, BLACK, FUNGUS PROOF	TT-I-558	10	X
AR	TAPE, NYLON, WAXED	MIL-T-713 TYPE P CLASS 2	9	
2.5 LONG	WIRE, ELECTRICAL	MIL-W-16878 ET-28 BLK	8	X
0.3125 LONG (25)	INSULATION SLEEVING, ELECT.	1006776-18	7	
AR	SOLDER	QQ-S-571 SN60 WARP2	6	
3	SCREW, BUT. HD. SOC, SPL	100250-1	5	
1	CONNECTOR	1000123	4	
1	NETWORK SUB ASSY	1007028	3	
1	16 PIP MOD D	1000179	2	
1	HEATER PLATE ASSY	1000134	1	
				
	PROOFED			
