-11	DRAWING	TITLE	FIND	STRIKE
X	1006098	SCHEMATIC	REF	
				
				
2	MS16633-4015	RING, RETAINING, EXTERNAL “E”	57	
2	1004546-3	WASHER, FLAT	56	
1	1004277	INSULATOR	55	
1	1006750-70	RESISTOR	54	
2	1006755-134	CAPACITOR	53	
AR	1006776-20	INSULATION, SLEEVING	52	
2	1008025-2	BUSHING, INSULATOR	51	X
AR	1006776-21	WIRE, ELEC	50	
AR	1006757-1	BUSHING, INSULATOR	49	
8	1008025-1	INSULATION, SLEEVING	48	X
AR	1006776-22	WIRE, ELEC	47	
AR	1006757-8	DRIVE CYLINDER	46	
2	1004207	PIN, SPRING	45	X
2	MS39086-100	WASHER, FLAT	44	X
2	1004546-1	SCREW, JACKING	43	
2	1004579-1	TRANSISTOR POTTED	42	
2	1003520-2	TRANSISTOR POTTED	41	
6	1003520-1	TRANSISTOR POTTED	40	
6	1010376-1	TRANSISTOR	39	
2	1003089-2	TRANSISTOR POTTED	38	
1	1006815-2	RELAY	37	
15	1006751	DIODE	36	
7	1006838	DIODE	35	
2	1003188-1	DIODE, POTTED	34	
2	1006777-24	CAPACITOR	33	
2	1006793-30	CAPACITOR	32	
2	1006755-64	CAPACITOR	31	
2	1006755-26	CAPACITOR	30	
2	1006755-57	CAPACITOR	29	
1	1006760-32	RESISTOR	28	
1	1006760-56	RESISTOR	27	
1	1006750-34	RESISTOR	26	X
1	1006750-25	RESISTOR	25	
2	1006750-44	RESISTOR	24	X
1	1006750-42	RESISTOR	23	
2	1006750-62	RESISTOR	22	
2	1006750-73	RESISTOR	21	
2	1006750-35	RESISTOR	20	
13	1006750-56	RESISTOR	19	
1	1006760-28	RESISTOR	18	
2	1006750-28	RESISTOR	17	
4	1006750-22	RESISTOR	16	
2	1010389-43	RESISTOR	15	
4	1006750-15	RESISTOR	14	
7	1006750-32	RESISTOR	13	
2	1006750-66	RESISTOR	12	X
1	1006750-56	RESISTOR	11	X
2	1006750-60	RESISTOR	10	
2	1006750-50	RESISTOR	9	
3	1006750-43	RESISTOR	8	
3	1006750-39	RESISTOR	7	
8	1006750-24	RESISTOR	6	
3	SEE NOTE 14	RESISTOR	5	
1	1004218	INSULATOR	4	
1	1004217	INSULATOR	3	
1	1004219	INSULATOR	2	
1	1003151	HEADER, HOUSING ASSY	1	
				
X	X	(PROOFED)	REF	X
