0	DRAWING	TITLE	FIND	STRIKE
X	1010033	SCHEMATIC	REF	
				
1	1010966-1	TRANSISTOR	50	
1	1006752	TRANSISTOR	49	X
1	1006750-51	RESISTOR	48	
AR	1006776-20	INSULATION, SLEEVING ELECT	47	
13	1008025-1	INSULATOR, BUSHING	46	
38	1006775	INSULATOR, WRAPOST – MALE, MIN	45	
AR	1006776-21	INSULATION SLEEVING	44	
AR	1006757-8	WIRE ELEC .020 DIA	43	
AR	-1	WIRE ELEC .010 X .020	42	
AR	1006776-22	INSULATION, SLEEVING ELECT	41	
38	1006782-5	CONTACT, WRAPOST – MALE, MIN	40	
1	1010353-4	RELAY	39	
			38	
2	1010467	TRANSFORMER	37	
6	1008814-1	TRANSISTOR	36	
6	1010397-1	TRANSISTOR	35	
1	1010372-9	DIODE	34	
1	-4	DIODE	33	
3	-16	DIODE	32	
3	1010830-009	DIODE	31	
1	1010372-8	DIODE	30	
35	1010385	DIODE	29	
			28	
1	1006755-57	CAPACITOR	27	
3	-89	CAPACITOR	26	
6	-69	CAPACITOR	25	
2	1006760-43	RESISTOR	24	
1	1006750-39	RESISTOR	23	
1	1010369-101	RESISTOR	22	
2	1006750-48	RESISTOR	21	
1	1006760-48	RESISTOR	20	
1	1006750-15	RESISTOR	19	
3	1010604-3	RESISTOR	18	
1	1006750-43	RESISTOR	17	
3	-53	RESISTOR	16	
3	1006760-32	RESISTOR	15	
6	1006750-49	RESISTOR	14	
5	-80	RESISTOR	13	
1	1010369 SEE DRAWING NOTE 12	RESISTOR	12	
3	1006750-73	RESISTOR	11	
7	-32	RESISTOR	10	
7	-75	RESISTOR	9	
1	1006750 SEE DRAWING NOTE 12	RESISTOR	8	
1	1006750 SEE DRAWING NOTE 12	RESISTOR	7	
1	-45	RESISTOR	6	
4	-56	RESISTOR	5	
1	-44	RESISTOR	4	
1	1008089	INSULATOR BOTTOM	3	
1	1008088	INSULATOR TOP	2	
1	1007038	HEATSINK	1	
				
		PROOFED		
