0	DRAWING	TITLE	FIND
X	1010058	SCHEMATIC	REF
			
1	1010359-25	CAPACITOR	36
AR	1006776-22	INSULATION, SLEEVING	35
AR	-20	INSULATION, SLEEVING	34
AR	1006757-8	WIRE, ELEC	33
AR	-1	WIRE, ELEC	32
AR	1006776-21	INSULATION, SLEEVING	31
20	1006782-5	CONTACT, WRAPOST MALE MIN	30
20	1006775	INSULATOR, WRAPOST MALE MIN	29
1	MS20341-416B	NUT	28
2	MS20341-10B	NUT	27
6	MS20341-4A	NUT	26
6	MS35338-78	WASHER, LOCK	25
1	1008071-5	WASHER, FLAT	24
2	-4	WASHER, FLAT	23
6	1008070-5	WASHER, FLAT	22
1	1008024-4	WASHER, INSULATOR	21
1	-3	WASHER, INSULATOR	20
1	-2	WASHER, INSULATOR	19
1	-1	WASHER, INSULATOR	18
1	1008021-2	BUSHING, INSULATOR	17
1	-1	BUSHING, INSULATOR	16
1	1000287	AMPL MA25A-1	15
1	1000286	AMPL MA20A-1	14
1	1000285	AMPL PA36A-1	13
1	1010273-1	TRANSISTOR	12
1	1010331-009	DIODE	11
1	1010322-001	DIODE	10
1	1010311 SEE DRAWING NOTE 13	RESISTOR	9
1	1006750-56	RESISTOR	8
1	1010453-1	RESISTOR	7
1	1010399-16	RESISTOR	6
1	1010312-36	RESISTOR	5
1	1010835-2	RESISTOR	4
2	-1	RESISTOR	3
2	1010364-368	RESISTOR	2
1	1007070	HEATSINK	1
			
		PROOFED	
