-011	FIND	DRAWING	TITLE	STRIKE
X	REF	1009520	SCHEMATIC	
AR	62	1010848-2	WIRE, ELECTRICAL – NICKEL	
2	61	1006750-60	RESISTOR	
1	60	2008093	TERMINAL, THREADED	
AR	59	1006776-21	INSULATION SLEEVING	
1	58	1008540-8	GASKET, CONNECTOR, MINIATURE	
1	57	-5	GASKET, CONNECTOR, MINIATURE	
3	56	1008161-3	SCREW	
3	55	1015135-019	SPACER	
1	54	1012053	TRANSFORMER	
1	53	1012054	TRANSFORMER	
3	52	1010329-1	TRANSFORMER	
1	51	1010362-002	DIODE	
2	50	1010830-9	DIODE	
1	49	-11	DIODE	
9	48	1010397-1	TRANSISTOR	
2	47	1010367	TRANSISTOR	
1	46	1010342	TRANSISTOR	
2	45	1006793-79	CAPACITOR	
1	44	1010317-7	CAPACITOR	
1	43	1006755-55	CAPACITOR	
1	42	-61	CAPACITOR	
1	41	1010317-6	CAPACITOR	
2	40	1006755-57	CAPACITOR	
5	39	1010393-044	CAPACITOR	
3	38	1006755-77	CAPACITOR	
2	37	1010409-15	CAPACITOR	
4	36	1006755-69	CAPACITOR	
2	35	1010393-037	CAPACITOR	
1	34	1010359-29	CAPACITOR	
1	33	1010768-13	RESISTOR	
2	32	1006750-8	RESISTOR	
2	31	-15	RESISTOR	
2	30	1010369-148	RESISTOR	
	29			
	28			
3	27	1006750-108	RESISTOR	
1	26	1010374-29	RESISTOR	
1	25	-1	RESISTOR	
2	24	1010364-505	RESISTOR	
1	23	-735	RESISTOR	
2	22	-559	RESISTOR	
1	21	-477	RESISTOR	
1	20	1006750-39	RESISTOR	
1	19	1010364-765	RESISTOR	
3	18	-719	RESISTOR	
1	17	-683	RESISTOR	
3	16	-635	RESISTOR	
2	15	-580	RESISTOR	
2	14	-535	RESISTOR	
2	13	-388	RESISTOR	
2	12	-251	RESISTOR	
2	11	-151	RESISTOR	
1	10	1006750-51	RESISTOR	
AR	9	1006776-22	INSULATION SLEEVING	X
AR	8	-20	INSULATION SLEEVING	
AR	7	1006757-8	WIRE ELEC .020 DIA	X
AR	6	-1	WIRE ELEC .010 X .020	
13	5	1006782-5	CONTACT, WRAPOST – MALE, MIN	
13	4	1006775	INSULATOR, WRAPOST – MALE, MIN	
1	3	1008578	WIRING BOARD BOTTOM	
1	2	1008579	WIRING BOARD TOP	
1	1	1008563	FRAME	
				
			PROOFED	
