-031	-021	-011	-000	FIND	DRAWING	TITLE
		10		44	1010400-1 THRU -12	CLAMP, LOOP, HINGED
	AR	AR		43	1010686	CATALYST
	AR	AR		42	1010657	EPOXY RESIN
	AR	AR		41	1012504	PRIMER, METAL PARTS
	AR	AR		40	1010718	PRIMER, SILICONE ADHESIVE
	AR	AR		39	MIL-A-25457	ADHESIVE, SILICONE RUBBER
	5	5		38	1021307	GASKET, CONNECTOR
	2	2		37	1010618-26	SCREW, BUTTON HD.
	2	2		36	1008329	SPACER BLOCK
	X	X		REF	1023058	INTERCONNECTION LIST
X			X	REF	1015087	INTERCONNECTION LIST
1	1	1		35	1023059	WIRING HARNESS “A”
	1	1		34	1007599-021	END CONNECTOR ASSY, PSA
1	1		1	33	MS35650-104	NUT, PLAIN HEX
4	4	4	4	32	MS35649-44	NUT, PLAIN HEX
4	4	4	4	31	1010618-15	SCREW, BUTTON HD.
AR	AR	AR	AR	30	1010798-2	ACTIVATOR
AR	AR	AR	AR	29	-1	RESIN
AR	AR	AR	AR	28	1012503	COMPOUND, POTTING, POLYRETHANE
AR	AR	AR	AR	27	1010679	ADHESIVE ACTIVATOR
AR	AR	AR	AR	26	1010661	EPOXY RESIN
AR	AR	AR	AR	25	1012507-004	LACING TAPE
AR	AR	AR	AR	24	-002	LACING TAPE
1	1		1	23	MS35338-081	WASHER, LOCK
6	6	6	6	22	1006783-47	SCREW, BUTTON HD.
1	2	2	1	21	1010705-8	CLAMP
1	1	1	1	20	-6	CLAMP
1	1		1	19	1010400-8	CLAMP, LOOP, HINGED
1	1		1	18	-7	CLAMP, LOOP, HINGED
3	3		3	17	-3	CLAMP, LOOP, HINGED
1	1		1	16	-2	CLAMP, LOOP, HINGED
5	5		5	15	-1	CLAMP, LOOP, HINGED
			1	14	1015085	WIRING HARNESS “A”
21	21	21	21	13	1010811-002	BAND, IDENTIFICATION
1	1	1	1	12	1021253-8	SPACER
1	1	1	1	11	-7	SPACER
2	2	2	2	10	-6	SPACER
2	2	2	2	9	-5	SPACER
1	1	1	1	8	-4	SPACER
1	1	1	1	7	-3	SPACER
2	2	2	2	6	-2	SPACER
2	2	2	2	5	-1	SPACER
1	1		1	4	1014609	BRACKET, CLAMP
1	1	1	1	3	1008165	CABLE, CLAMP, RIGHT
1	1	1	1	2	1008164	CABLE, CLAMP, LEFT
1			1	1	1007599-011	END CONNECTOR ASSY, PSA
						
						PROOFED
